date_time,lat,lng,depth,magnitude,area
2020-1-2 03:13:5.7,30°35.1'N,131°12.8'E,31,1.0,種子島近海
2020-1-2 03:13:31.2,31°24.7'N,130°41.4'E,117,2.4,鹿児島湾
2020-1-2 03:13:58.4,35°25.8'N,139°0.1'E,22,0.1,神奈川県西部
2020-1-2 03:22:32.1,32°15.2'N,131°0.0'E,124,1.0,熊本県球磨地方
2020-1-2 03:23:35.5,36°55.7'N,138°26.3'E,8,0.2,長野県北部
2020-1-2 03:23:56.7,34°54.1'N,137°47.2'E,22,0.2,静岡県西部
2020-1-2 03:24:14.5,26°9.1'N,129°27.4'E,48,1.9,沖縄本島近海
2020-1-2 03:27:18.4,33°44.9'N,134°57.7'E,42,1.3,紀伊水道
2020-1-2 03:27:22.3,34°49.1'N,135°31.6'E,10,1.0,大阪府北部
2020-1-2 03:28:4.8,42°2.1'N,143°0.7'E,48,0.7,浦河沖
2020-1-2 03:29:38.3,39°29.7'N,143°2.1'E,22,2.1,三陸沖
2020-1-2 03:32:50.7,36°56.7'N,140°37.8'E,9,0.4,福島県浜通り
2020-1-2 03:32:53.0,32°26.2'N,130°31.8'E,9,0.2,熊本県天草・芦北地方
2020-1-2 03:34:38.8,33°45.5'N,134°57.5'E,38,0.5,紀伊水道
2020-1-2 03:35:41.1,35°50.2'N,138°11.7'E,2,-0.5,長野県中部
2020-1-2 03:35:54.4,33°4.8'N,130°32.5'E,15,0.3,福岡県筑後地方
2020-1-2 03:38:55.8,31°50.5'N,130°43.2'E,8,0.7,鹿児島県薩摩地方
2020-1-2 03:39:2.5,37°47.4'N,142°18.9'E,32,1.8,福島県沖
2020-1-2 03:39:4.4,26°27.6'N,127°1.1'E,11,1.4,沖縄本島近海
2020-1-2 03:40:16.3,31°50.8'N,130°43.1'E,5,0.2,鹿児島県薩摩地方
2020-1-2 03:44:42.7,42°56.2'N,143°25.8'E,116,1.1,十勝地方中部
2020-1-2 03:47:19.5,44°17.7'N,150°11.2'E,30,4.6,択捉島南東沖
2020-1-2 03:49:19.6,36°18.4'N,137°2.9'E,11,-0.1,岐阜県飛騨地方
2020-1-2 03:50:27.9,36°48.3'N,140°32.5'E,6,1.0,茨城県北部
2020-1-2 03:50:56.5,36°26.6'N,138°2.0'E,11,0.2,長野県中部
2020-1-2 03:54:34.9,32°16.9'N,130°19.1'E,5,0.9,熊本県天草・芦北地方
2020-1-2 03:57:52.7,36°37.7'N,139°58.5'E,116,0.8,栃木県南部
2020-1-2 03:58:5.4,36°50.4'N,140°31.8'E,7,-0.1,福島県中通り
2020-1-2 04:01:7.9,35°53.5'N,138°10.1'E,3,-0.7,長野県南部
2020-1-2 04:03:5.5,34°8.2'N,135°4.1'E,9,1.4,紀伊水道
2020-1-2 04:04:27.9,38°19.3'N,142°4.8'E,30,1.4,宮城県沖
2020-1-2 04:06:41.1,35°39.1'N,139°46.0'E,64,0.9,東京都２３区
2020-1-2 04:07:11.3,31°6.1'N,131°27.8'E,25,1.4,大隅半島東方沖
2020-1-2 04:16:57.8,31°6.1'N,131°27.4'E,23,1.0,大隅半島東方沖
2020-1-2 04:17:32.6,36°50.1'N,138°34.8'E,8,0.4,長野県北部
2020-1-2 04:18:33.5,32°32.2'N,132°8.7'E,26,1.0,日向灘
2020-1-2 04:22:54.9,36°55.6'N,139°41.0'E,9,0.0,栃木県北部
2020-1-2 04:25:11.7,38°51.2'N,141°39.1'E,64,0.4,宮城県沖
2020-1-2 04:25:24.1,35°29.5'N,138°57.6'E,24,1.5,山梨県東部・富士五湖
2020-1-2 04:26:29.5,31°21.8'N,131°23.8'E,44,0.9,大隅半島東方沖
2020-1-2 04:27:20.2,35°41.9'N,140°51.7'E,32,1.9,千葉県東方沖
2020-1-2 04:28:47.7,35°29.3'N,136°44.5'E,8,0.6,岐阜県美濃中西部
2020-1-2 04:35:16.4,35°49.8'N,140°14.9'E,48,0.3,千葉県北西部
2020-1-2 04:36:48.8,34°35.6'N,133°35.0'E,14,0.8,岡山県南部
2020-1-2 04:39:7.5,36°39.7'N,140°38.3'E,9,0.7,茨城県北部
2020-1-2 04:39:24.7,27°39.7'N,128°24.3'E,66,1.9,沖縄本島近海
2020-1-2 04:49:0.1,36°18.4'N,140°50.1'E,46,1.5,茨城県沖
2020-1-2 04:52:47.2,37°27.1'N,141°52.5'E,36,2.2,福島県沖
2020-1-2 04:55:57.2,33°36.3'N,135°32.2'E,21,0.4,和歌山県南部
2020-1-2 04:59:31.2,30°25.5'N,131°12.6'E,28,1.6,種子島近海
2020-1-2 04:59:44.3,36°56.7'N,139°41.2'E,7,-0.1,栃木県北部
2020-1-2 05:04:7.8,27°31.1'N,127°4.7'E,140,2.0,沖縄本島北西沖
2020-1-2 05:04:14.6,37°36.0'N,141°46.8'E,39,2.0,福島県沖
2020-1-2 05:05:23.5,35°53.9'N,138°10.3'E,4,-0.1,長野県南部
2020-1-2 05:05:38.1,33°3.8'N,130°23.8'E,13,-0.2,有明海
2020-1-2 05:10:32.3,39°2.8'N,142°30.8'E,42,1.3,岩手県沖
2020-1-2 05:25:21.7,35°1.9'N,134°22.5'E,11,0.1,兵庫県南西部
2020-1-2 05:30:17.3,28°55.5'N,127°47.8'E,226,-,奄美大島北西沖
2020-1-2 05:32:8.3,36°16.1'N,141°14.1'E,53,1.2,茨城県沖
2020-1-2 05:34:20.0,36°3.1'N,140°6.1'E,94,0.5,茨城県南部
2020-1-2 05:34:35.0,43°7.1'N,142°58.0'E,157,1.9,十勝地方北部
2020-1-2 05:38:17.7,42°39.0'N,144°43.9'E,42,1.0,釧路沖
2020-1-2 05:47:44.2,34°3.4'N,134°27.0'E,9,0.2,徳島県北部
2020-1-2 05:50:27.2,36°46.4'N,140°33.7'E,9,0.4,茨城県北部
2020-1-2 05:52:58.3,35°1.8'N,135°40.7'E,8,0.3,京都府南部
2020-1-2 05:57:14.4,32°46.6'N,130°36.0'E,7,-0.2,有明海
2020-1-2 05:59:57.3,34°10.5'N,135°9.2'E,5,0.6,紀伊水道
2020-1-2 06:03:2.1,26°26.4'N,129°40.3'E,44,2.0,沖縄本島近海
2020-1-2 06:05:0.8,36°32.8'N,137°57.6'E,12,0.7,長野県北部
2020-1-2 06:08:12.0,30°38.2'N,131°19.9'E,29,1.3,種子島近海
2020-1-2 06:08:15.1,36°3.3'N,137°35.7'E,8,0.2,岐阜県飛騨地方
2020-1-2 06:12:18.7,36°3.6'N,139°24.4'E,55,0.8,埼玉県北部
2020-1-2 06:13:56.0,24°10.3'N,126°15.4'E,79,2.4,宮古島近海
2020-1-2 06:21:27.0,34°7.9'N,135°23.1'E,8,-0.1,和歌山県北部
2020-1-2 06:26:47.9,32°51.6'N,130°52.5'E,11,2.1,熊本県熊本地方
2020-1-2 06:28:37.7,30°37.0'N,131°19.8'E,31,2.0,種子島近海
2020-1-2 06:34:50.5,33°1.3'N,131°10.3'E,10,1.0,熊本県阿蘇地方
2020-1-2 06:36:5.5,36°12.6'N,138°2.5'E,9,0.0,長野県中部
2020-1-2 06:39:17.8,35°38.3'N,140°51.1'E,12,1.5,千葉県東方沖
2020-1-2 06:39:18.3,32°42.7'N,130°42.9'E,12,1.0,熊本県熊本地方
2020-1-2 06:45:52.5,39°52.3'N,140°23.3'E,7,0.9,秋田県内陸北部
2020-1-2 06:49:8.9,39°3.5'N,140°50.7'E,8,0.8,岩手県内陸南部
2020-1-2 06:52:8.6,38°20.7'N,142°10.3'E,37,3.0,宮城県沖
2020-1-2 06:55:7.6,36°48.3'N,140°35.0'E,8,0.1,茨城県北部
2020-1-2 07:01:3.5,33°41.9'N,135°29.0'E,14,0.1,和歌山県南部
2020-1-2 07:03:20.0,38°42.1'N,139°15.7'E,14,1.6,山形県沖
2020-1-2 07:03:54.1,37°27.8'N,140°44.0'E,84,2.0,福島県中通り
2020-1-2 07:09:30.4,36°20.5'N,140°52.4'E,39,0.8,茨城県沖
2020-1-2 07:11:3.5,35°49.4'N,138°0.5'E,10,0.3,長野県南部
2020-1-2 07:18:24.8,36°49.6'N,138°35.9'E,0,1.2,長野県北部
2020-1-2 07:24:57.7,38°45.5'N,141°43.9'E,55,2.1,宮城県沖
2020-1-2 07:25:49.1,35°23.5'N,133°51.0'E,9,0.7,鳥取県中部
2020-1-2 07:27:58.6,37°8.2'N,141°11.3'E,31,1.1,福島県沖
2020-1-2 07:31:55.6,37°15.1'N,141°38.4'E,35,1.3,福島県沖
2020-1-2 07:33:23.0,36°41.8'N,140°36.2'E,11,0.5,茨城県北部
2020-1-2 07:35:13.9,27°39.8'N,128°46.4'E,14,1.7,奄美大島近海
2020-1-2 07:43:19.4,34°45.8'N,135°20.4'E,7,0.4,兵庫県南東部
2020-1-2 07:46:31.4,35°20.2'N,139°35.5'E,130,1.2,神奈川県東部
2020-1-2 07:46:45.8,35°51.4'N,137°43.0'E,9,0.4,長野県南部
2020-1-2 07:50:33.3,34°13.8'N,135°5.9'E,8,1.0,紀伊水道
2020-1-2 07:51:9.6,40°6.8'N,142°27.0'E,35,3.3,岩手県沖
2020-1-2 07:51:11.7,32°34.1'N,130°44.9'E,8,0.9,熊本県熊本地方
2020-1-2 07:53:35.8,38°51.1'N,142°6.2'E,49,1.0,宮城県沖
2020-1-2 07:59:10.8,33°56.6'N,131°27.0'E,15,0.5,周防灘
2020-1-2 08:13:23.3,36°12.6'N,138°2.3'E,11,0.2,長野県中部
2020-1-2 08:22:33.4,33°41.9'N,135°28.1'E,12,0.4,和歌山県南部
2020-1-2 08:24:45.6,36°6.9'N,140°6.9'E,61,0.4,茨城県南部
2020-1-2 08:25:48.2,32°8.4'N,130°3.6'E,8,2.3,天草灘
2020-1-2 08:29:8.7,36°36.5'N,138°21.9'E,12,0.4,長野県北部
2020-1-2 08:38:46.9,40°7.6'N,141°8.0'E,12,0.6,岩手県内陸北部
2020-1-2 08:41:46.4,35°48.0'N,138°8.0'E,8,-0.6,長野県南部
2020-1-2 08:44:10.7,42°24.1'N,142°35.8'E,12,0.9,日高地方中部
2020-1-2 08:48:43.3,33°28.1'N,135°29.8'E,28,0.2,和歌山県南方沖
2020-1-2 08:55:39.7,35°41.9'N,140°41.0'E,50,0.7,千葉県東方沖
2020-1-2 08:56:21.2,37°1.0'N,139°24.6'E,6,0.5,福島県会津
2020-1-2 08:56:44.7,28°16.5'N,128°53.3'E,66,0.7,奄美大島近海
2020-1-2 08:56:59.8,32°35.5'N,131°44.5'E,15,0.1,日向灘
2020-1-2 09:00:48.9,30°26.1'N,131°10.9'E,28,1.0,種子島近海
2020-1-2 09:02:35.5,24°58.3'N,123°28.3'E,38,1.8,石垣島近海
2020-1-2 09:09:38.9,34°57.3'N,136°3.2'E,9,0.1,滋賀県南部
2020-1-2 09:15:36.5,27°53.8'N,130°9.2'E,60,1.5,奄美大島近海
2020-1-2 09:17:28.7,40°9.7'N,141°10.6'E,10,0.6,岩手県内陸北部
2020-1-2 09:20:54.6,34°4.4'N,135°11.1'E,6,1.6,和歌山県北部
2020-1-2 09:23:55.3,32°39.9'N,130°5.8'E,13,0.5,橘湾
2020-1-2 09:24:25.5,34°49.2'N,135°31.7'E,10,1.9,大阪府北部
2020-1-2 09:26:41.7,36°48.8'N,140°32.9'E,10,1.0,茨城県北部
2020-1-2 09:33:30.9,32°51.9'N,130°52.6'E,13,0.6,熊本県熊本地方
2020-1-2 09:36:25.4,27°58.2'N,129°31.1'E,28,1.0,奄美大島近海
2020-1-2 09:41:9.6,38°25.7'N,140°46.7'E,96,1.3,宮城県中部
2020-1-2 09:46:40.7,39°15.4'N,142°21.0'E,35,1.0,岩手県沖
2020-1-2 09:46:50.3,38°58.3'N,142°20.4'E,39,1.4,宮城県沖
2020-1-2 09:47:12.4,28°19.5'N,128°50.7'E,73,1.0,トカラ列島近海
2020-1-2 09:50:55.3,38°24.7'N,142°15.4'E,33,1.5,宮城県沖
2020-1-2 09:56:10.2,31°57.5'N,130°56.3'E,4,1.6,宮崎県南部山沿い
