SITE CODE= E08石巻市泉町                ,38.1033,142.8600, 24,9.0,40613.6154873, 22.42, 38.64
 LAT.=   38.4277
 LON.=  141.2994
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
0.027,0.036,0.006
0.005,-0.047,-0.006
-0.042,0.008,-0.002
-0.005,0.020,0.015
-0.021,-0.001,0.009
-0.020,0.041,-0.016
0.044,-0.036,-0.012
0.015,-0.062,0.006
-0.001,0.009,0.002
0.027,0.037,-0.005
-0.002,0.045,0.012
-0.010,0.001,0.017
-0.001,-0.013,-0.013
-0.032,-0.011,-0.013
-0.037,-0.038,0.004
0.019,0.008,0.014
0.040,0.035,0.005
-0.003,-0.005,-0.031
0.015,-0.017,-0.014
0.033,0.009,0.030
-0.037,0.017,0.033
-0.047,-0.019,-0.009
0.002,-0.040,-0.029
0.022,0.005,0.001
-0.005,0.042,0.002
0.005,0.022,-0.006
0.036,0.002,0.001
-0.033,-0.025,0.006
-0.018,-0.015,0.005
0.027,0.030,0.000
-0.024,-0.005,-0.001
0.016,-0.010,-0.014
0.027,0.014,-0.003
-0.017,-0.011,0.011
-0.006,-0.007,0.002
-0.012,0.013,0.017
0.005,0.021,0.010
-0.002,-0.010,-0.013
-0.026,-0.030,-0.008
0.028,0.010,-0.002
0.029,0.034,0.005
-0.045,0.002,0.000
-0.025,-0.039,-0.006
0.050,-0.007,0.006
0.013,0.028,0.013
-0.033,-0.017,0.002
0.005,-0.003,-0.008
0.005,0.038,-0.006
0.001,0.016,0.000
0.005,-0.001,0.005
-0.002,-0.036,-0.001
-0.016,-0.023,-0.003
-0.030,0.020,0.005
0.019,0.011,0.007
0.024,0.006,-0.001
0.005,0.003,-0.020
0.013,0.007,-0.005
-0.022,0.012,0.022
-0.023,0.000,0.002
0.012,-0.027,-0.002
0.034,-0.018,-0.007
0.000,0.014,-0.016
-0.045,-0.001,0.012
-0.005,-0.011,-0.002
0.037,0.014,0.000
-0.006,0.022,0.020
-0.007,-0.007,-0.012
0.054,-0.014,-0.007
-0.007,0.038,0.014
-0.052,0.034,0.009
0.011,-0.066,0.004
-0.004,-0.057,-0.023
-0.015,0.047,-0.019
0.025,0.032,0.017
0.017,-0.003,0.016
0.002,0.020,0.002
-0.009,-0.005,0.012
-0.005,-0.014,0.006
-0.009,0.009,-0.015
-0.033,-0.022,-0.004
0.030,-0.034,-0.009
0.042,0.030,-0.012
-0.023,0.067,0.026
-0.006,-0.008,0.007
-0.001,-0.043,-0.002
-0.013,0.004,0.015
-0.025,-0.025,-0.011
0.001,-0.022,-0.008
0.045,0.068,0.001
-0.001,0.049,0.000
0.009,-0.043,-0.005
0.019,-0.045,-0.014
-0.052,0.008,0.014
-0.019,0.016,0.022
0.031,-0.021,-0.003
0.021,-0.007,-0.011
0.008,0.061,-0.006
-0.036,0.011,0.004
0.005,-0.030,-0.009
0.034,0.023,-0.003
-0.044,-0.041,0.031
-0.008,-0.050,0.002
0.048,0.050,-0.031
0.000,0.041,-0.002
-0.035,0.003,0.018
0.009,0.002,0.011
0.037,-0.020,-0.010
0.003,-0.026,-0.008
0.004,-0.006,0.008
-0.027,0.001,0.005
-0.027,0.025,-0.002
0.011,0.021,-0.009
0.000,-0.014,0.010
0.045,-0.030,0.001
0.007,0.011,-0.015
-0.024,0.043,0.016
0.030,-0.010,0.006
-0.041,-0.022,-0.007
-0.054,0.000,-0.009
0.014,0.019,-0.009
0.057,0.029,0.010
0.054,-0.031,0.002
-0.023,-0.066,0.019
-0.010,0.001,0.006
-0.033,0.072,-0.021
-0.056,0.052,-0.004
0.038,-0.010,-0.016
0.040,-0.028,-0.004
0.002,-0.025,0.030
-0.010,-0.052,0.020
-0.009,0.001,-0.015
-0.013,0.047,-0.011
0.021,-0.011,0.012
0.019,0.011,-0.005
-0.038,0.035,-0.002
0.007,0.016,-0.016
-0.018,0.003,-0.012
-0.016,-0.048,0.021
0.034,-0.051,0.014
-0.009,-0.013,0.024
0.039,0.039,-0.003
0.032,0.086,-0.032
-0.063,0.048,-0.001
-0.022,-0.053,-0.013
0.045,-0.081,-0.027
-0.014,-0.019,0.019
-0.020,0.021,0.033
0.031,0.041,0.011
0.034,0.013,0.006
0.023,-0.013,-0.009
-0.074,0.007,-0.006
-0.046,-0.004,-0.021
0.030,0.008,-0.032
-0.001,-0.014,0.025
0.032,-0.039,0.038
-0.009,0.018,0.002
-0.040,0.012,-0.007
0.023,0.005,0.006
0.027,0.061,-0.010
-0.012,0.006,-0.029
0.009,-0.078,0.001
0.007,-0.006,0.020
-0.073,0.030,0.027
0.006,-0.054,-0.017
0.064,-0.011,-0.042
0.002,0.097,0.011
0.005,0.038,0.027
-0.021,-0.059,0.017
-0.019,-0.035,-0.003
-0.015,0.018,-0.011
-0.014,0.014,-0.007
0.052,-0.004,-0.011
0.045,-0.005,0.007
-0.008,-0.015,0.012
-0.018,0.002,0.013
-0.031,0.020,-0.004
-0.038,0.000,-0.022
0.017,-0.020,0.007
0.024,0.006,0.026
-0.027,0.041,0.007
0.016,-0.015,-0.021
0.055,-0.029,-0.026
-0.007,0.009,0.018
-0.015,-0.022,0.030
-0.004,0.012,-0.015
-0.033,0.029,-0.009
0.009,0.002,0.005
-0.009,0.038,0.009
-0.025,0.018,0.004
0.038,-0.085,-0.025
0.016,-0.060,-0.002
-0.005,0.080,0.010
0.019,0.009,0.016
0.004,-0.069,0.015
-0.046,0.083,-0.013
-0.037,0.069,0.000
0.041,-0.071,-0.016
0.033,-0.039,-0.032
-0.013,0.013,0.021
-0.004,-0.014,0.037
-0.025,-0.013,0.008
-0.023,0.011,0.000
0.037,0.007,-0.009
0.023,0.041,-0.019
-0.023,0.046,-0.002
-0.003,-0.049,0.011
0.037,-0.065,-0.006
-0.001,-0.002,-0.003
-0.046,0.010,0.020
-0.011,0.025,0.007
-0.010,0.052,-0.002
-0.006,0.003,0.001
0.040,-0.055,-0.010
0.033,-0.013,-0.006
-0.016,0.035,0.013
-0.035,-0.014,0.013
0.008,-0.025,-0.001
0.014,0.026,-0.021
-0.029,0.000,-0.013
0.013,0.004,0.019
0.020,0.047,0.000
-0.050,-0.007,-0.001
0.005,-0.048,0.018
0.027,-0.005,-0.002
-0.012,0.014,-0.005
0.045,-0.023,-0.017
0.032,-0.013,-0.014
-0.030,0.054,0.015
-0.044,0.029,0.014
-0.011,-0.034,0.000
0.016,-0.012,0.001
-0.018,0.016,0.018
-0.002,0.010,0.000
0.036,-0.007,-0.016
0.017,-0.032,0.000
-0.016,-0.011,-0.014
-0.027,0.020,-0.001
0.010,0.031,0.018
0.004,0.013,0.002
-0.028,-0.032,0.011
0.023,-0.013,0.008
0.026,0.027,-0.001
-0.026,0.003,-0.008
-0.016,-0.020,-0.013
-0.002,0.018,0.004
0.003,0.025,0.002
0.005,-0.030,-0.004
-0.001,-0.021,0.009
-0.015,0.018,0.016
0.004,0.010,-0.010
0.036,-0.016,-0.017
0.000,-0.005,0.021
-0.023,0.036,0.006
-0.020,0.000,-0.012
0.020,-0.014,0.000
0.015,0.013,0.004
-0.034,-0.021,0.011
0.024,-0.021,-0.009
0.018,0.005,-0.006
-0.052,0.038,0.021
-0.023,0.006,0.013
0.057,-0.031,-0.020
0.045,0.034,-0.020
-0.019,-0.011,0.019
0.000,-0.050,0.005
-0.023,0.021,-0.012
-0.033,0.012,0.002
0.015,-0.009,0.002
0.005,0.017,0.016
-0.013,0.019,0.002
-0.011,-0.025,-0.004
0.021,-0.032,0.016
0.032,0.016,-0.005
-0.017,0.004,-0.014
-0.019,-0.021,-0.001
0.004,0.026,-0.002
-0.034,0.039,0.011
0.001,-0.023,0.016
0.041,-0.021,-0.007
-0.014,0.016,-0.007
-0.005,0.002,0.005
-0.002,-0.024,0.001
0.000,-0.010,-0.007
0.023,0.036,0.006
-0.025,0.002,0.014
-0.025,-0.023,-0.013
0.039,0.015,-0.003
0.016,0.008,0.018
-0.035,-0.016,0.002
0.019,-0.026,-0.005
0.014,0.006,-0.023
-0.028,0.021,-0.009
0.006,-0.002,0.031
0.009,0.028,0.012
0.019,-0.015,-0.020
0.021,-0.060,-0.017
-0.030,0.030,0.012
-0.044,0.041,0.026
0.009,-0.024,-0.007
0.015,-0.009,-0.022
-0.021,0.034,0.014
0.004,-0.005,0.018
0.022,-0.061,-0.009
0.020,0.011,-0.016
0.000,0.065,-0.002
-0.027,-0.014,0.025
0.001,-0.039,0.006
0.007,0.010,-0.038
-0.024,0.014,0.002
-0.005,0.004,0.017
0.037,0.007,-0.019
0.023,0.000,-0.011
-0.032,-0.034,0.013
-0.033,0.000,0.030
0.005,0.055,0.008
0.012,-0.015,-0.017
0.013,-0.025,-0.015
0.029,0.018,-0.006
0.015,0.002,0.002
-0.030,0.006,0.011
-0.016,0.003,0.025
-0.008,-0.019,0.004
-0.019,-0.029,-0.009
0.016,0.006,0.000
0.024,0.032,-0.014
0.011,0.021,-0.009
-0.003,-0.003,0.004
-0.007,-0.025,0.005
-0.023,-0.010,0.013
-0.011,0.007,0.007
0.025,0.008,0.000
0.010,0.006,0.004
-0.012,0.025,-0.018
-0.034,0.008,-0.017
0.021,-0.049,0.013
0.037,-0.008,0.009
-0.047,0.036,-0.002
0.003,-0.020,0.000
0.044,0.000,0.000
-0.027,0.050,0.007
-0.014,-0.039,0.010
0.022,-0.054,-0.011
-0.015,0.059,-0.021
-0.005,0.021,0.007
0.022,-0.045,0.008
-0.023,0.029,0.008
-0.014,0.043,0.013
0.016,-0.038,-0.009
-0.003,-0.057,0.000
0.009,0.018,-0.005
0.000,0.050,-0.008
0.029,0.008,0.017
0.016,-0.008,0.006
-0.057,-0.016,0.009
0.015,-0.020,-0.002
0.005,-0.013,-0.013
-0.058,0.001,-0.005
0.012,0.011,-0.018
0.037,0.009,0.012
0.027,0.045,0.024
0.013,0.057,-0.001
-0.021,-0.030,0.002
-0.021,-0.097,0.007
-0.021,-0.025,-0.006
-0.027,0.013,-0.016
0.023,0.007,-0.008
0.057,0.079,-0.007
0.028,0.070,0.006
0.004,-0.023,0.019
-0.025,-0.083,0.012
-0.044,-0.064,0.018
-0.068,0.000,0.018
-0.017,0.026,-0.033
0.067,0.060,-0.076
0.029,0.056,-0.021
0.034,-0.024,0.055
0.040,-0.055,0.063
-0.058,-0.039,0.016
-0.061,-0.007,-0.034
-0.012,0.055,-0.041
0.005,0.073,-0.006
0.014,-0.018,0.007
0.008,-0.098,0.004
0.054,-0.020,0.021
0.023,0.072,0.013
-0.066,0.030,0.006
-0.021,-0.034,-0.013
0.000,-0.039,-0.027
0.004,-0.002,0.017
0.051,0.051,0.025
0.030,0.043,-0.007
-0.016,-0.019,-0.023
-0.007,-0.026,-0.021
-0.013,-0.013,0.000
-0.088,-0.025,0.034
-0.035,-0.027,0.037
0.084,0.032,0.000
0.068,0.075,-0.019
0.008,0.035,-0.036
-0.032,-0.002,-0.021
-0.002,-0.050,0.020
-0.033,-0.093,0.039
-0.070,-0.048,0.036
0.061,0.044,-0.010
0.057,0.088,-0.041
-0.035,0.076,-0.032
0.001,0.004,-0.005
-0.001,-0.094,0.027
-0.027,-0.064,0.037
-0.005,0.013,0.029
-0.005,0.027,-0.018
0.005,0.041,-0.048
0.034,0.039,-0.028
-0.015,-0.028,0.016
-0.012,-0.067,0.041
0.030,0.014,0.007
-0.005,0.053,-0.002
0.007,0.001,0.007
-0.005,0.005,-0.016
-0.038,-0.018,-0.018
-0.012,-0.054,0.005
0.006,0.000,0.021
0.032,0.038,0.007
0.022,0.007,-0.013
0.013,0.013,-0.009
0.004,0.053,-0.005
-0.055,-0.030,0.011
-0.013,-0.111,0.011
0.029,-0.016,0.001
-0.005,0.079,0.011
-0.001,0.045,-0.020
0.018,-0.007,-0.038
0.009,0.011,0.009
-0.027,-0.005,0.039
0.004,-0.055,0.020
0.026,-0.061,0.000
-0.020,0.025,-0.018
-0.018,0.115,-0.026
0.022,0.039,-0.005
0.007,-0.048,0.007
-0.023,-0.069,0.014
0.026,-0.063,0.016
0.009,0.017,0.004
-0.018,0.059,-0.009
0.034,0.048,-0.021
-0.003,0.025,-0.001
-0.035,0.000,0.012
-0.010,-0.030,0.006
0.012,-0.069,0.011
0.020,-0.009,-0.009
-0.020,0.054,-0.013
-0.014,0.007,0.009
0.024,-0.009,0.005
0.009,0.013,-0.011
0.002,-0.004,0.001
0.025,-0.010,0.005
-0.009,0.007,-0.011
-0.045,0.000,0.005
-0.009,-0.018,0.011
0.011,-0.019,0.006
0.015,0.009,-0.004
0.001,0.022,-0.020
0.016,0.016,-0.013
0.017,0.011,0.001
-0.036,-0.011,0.020
0.001,-0.005,0.015
